SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
CARMINA 2,2,10,10,1076,41,97.9,1,1
PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,2,10,21.2,288,41,,,
RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,112,173.64,40.9,241960,241960,28,,
PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,5.5,64.59,45.5,695,3,,,
LOS CABOS 1,,,10.3,3,,,,
BAHIA CABO SAN LUCAS,,,10,52,,,,
LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,,,10,24196,,,,
MANANTIAL SAN REGIS,2,10,13.2,1956,98,81.6,1,1
AGUA CALIENTE II,2,10,10,355,20,108.9,1,1
BOCA DE LA SIERRA,2,10,10,52,3,120.7,1,1
MANANTIAL SAN BARTOLO,2,10,10,173,3,98.9,1,1
RIO MULEGE 2,2,10,10,2481,3,118.6,1,1
RIO MULEGE 1,2,49.13,10,9804,10,103.8,1,1
"PLAYA SANTA ROSALIA SEG23, 1 ISA8A",,,11.5,24196,,,,
LAGUNA SAN IGNACIO 7,,,14.4,3,,,,
LAGUNA SAN IGNACIO,,,11.1,3,,,,
LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),,,12.2,3,,,,
LAGUNA OJO DE LIEBRE 4,,,13,10,,,,
BAHIA MAGDALENA (PUERTO ADOLFO LOPEZ MATEOS),,,61.2,24196,,,,
BAHIA MAGDALENA (PUERTO SAN CARLOS),,,16.4,3,,,,
BAHIA MAGDALENA 1,,,52.9,3,,,,
BOCANA LOPEZ MATEOS,,,33.2,1664,,,,
BAHIA DE LA PAZ PUERTO PILCHILINGUE,,,14.6,31,,,,
BAHIA DE LA PAZ,,,10,3,,,,
"BAHIA DE LA PAZ SEG 25, 3 ISA9",,,12.5,3,,,,
HUMEDALES EL MOGOTE - ENSENADA DE LA PAZ 1,,,23,3,,,,
EL SARGENTO Y LA VENTANA,,,10,3,,,,
MANANTIAL SAN JOSE DEL CABO,2,10,10,3282,638,85.8,1,1
CABO PULMO 2,,,20.5,148,,,,
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,2,26.29,24.8,11199,226,92.7,1,1
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,2,10,10,6131,313,80,1,1
BAHIA SAN JOSE DEL CABO,,,29.5,3,,,,
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,2,10,10,12997,116,86.4,1,1
BAHIA SAN JOSE DEL CABO1,,,16.1,3,,,,
RESERVA DE LA BIOSFERA LOS PETENES 1,,,10,43,,,,
RIO PALIZADA AGUAS ABAJO DEL POBLADO,5.3,12.42,286.7,3873,512,74,1,1
PUENTE SAN FRANCISCO,5.7,10,258,3654,561,80.8,1,1
MANANTIAL AGUAS VERDES,10.8,22.45,10,460,150,46.1,1,1
PUENTE NUEVO COAHUILA,15.36,23.42,16,1100,1100,46,1,1
LAGUNA DE TERMINOS 3,,,21,9,,,,
ISLA AGUADA,,,30,3,,,,
CANDELARIA,14.88,24.4,14,75,75,94.2,1,1
IGNACIO ZARAGOZA,11.28,19.52,24,2400,1100,95.2,1,1
CANDELARIA PUENTE AGUAS ABAJO DEL POBLADO,14.07,21.47,18,210,120,56.7,1,1
