SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
CARMINA 2,2,10,10,1076,41,97.9,1,1
MANANTIAL SAN REGIS,2,10,13.2,1956,98,81.6,1,1
AGUA CALIENTE II,2,10,10,355,20,108.9,1,1
BOCA DE LA SIERRA,2,10,10,52,3,120.7,1,1
MANANTIAL SAN BARTOLO,2,10,10,173,3,98.9,1,1
RIO MULEGE 2,2,10,10,2481,3,118.6,1,1
RIO MULEGE 1,2,49.13,10,9804,10,103.8,1,1
MANANTIAL SAN JOSE DEL CABO,2,10,10,3282,638,85.8,1,1
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,2,26.29,24.8,11199,226,92.7,1,1
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,2,10,10,6131,313,80,1,1
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,2,10,10,12997,116,86.4,1,1
MANANTIAL AGUAS VERDES,10.8,22.45,10,460,150,46.1,1,1
PUENTE NUEVO COAHUILA,15.36,23.42,16,1100,1100,46,1,1
CANDELARIA,14.88,24.4,14,75,75,94.2,1,1
IGNACIO ZARAGOZA,11.28,19.52,24,2400,1100,95.2,1,1
CANDELARIA PUENTE AGUAS ABAJO DEL POBLADO,14.07,21.47,18,210,120,56.7,1,1
VENUSTIANO CARRANZA,15.33,24.4,12,43,43,82.8,1,1
RIO BRAVO 18,4,10,116.2,242,10,97,1,1
RIO SAN PEDRO-PUENTE MEOQUI,2,10,17.4,4884,20,138.1,1,1
RIO SABINAS 6,2,10,24.6,2613,52,112.2,1,1
RIO SABINAS 4,2,10,26.4,2909,20,111.8,1,1
PUENTE RIO SABINAS,2,10,11.9,3448,324,109.2,1,1
AGUAS ABAJO DE SABINAS,2,10,12.3,5475,520,99.5,1,1
AGUAS ABAJO DEL POBLADO NUEVA ROSITA,2,10,10.1,2778,259,102.1,1,1
AGUAS ARRIBA DEL POBLADO NUEVA ROSITA,2,10,10,789,20,114.5,1,1
EN POBLADO DE SAN JUAN DE SABINAS,2,10,10,1210,20,109.1,1,1
