SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,112,173.64,40.9,241960,241960,28,,
"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (A) (AGUAS ABAJO)",131.25,231.23,42.6,2419600,2419600,,1.6,1.95
"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (C) (AGUAS ARRIBA)",94.5,209.33,28.1,24196,24196,17.5,1.48,1.53
ACEQUIA GRANDE,79.5,239.25,45.1,24196,24196,10,1,5.03
EMBOTELLADORA GUADIANA S.A. DE C.V. (AGUAS ABAJO),120,195.85,33.8,24196,24196,14.5,1.44,3.98
CIENEGAS DE LERMA 3,58.56,89.37,22,120,75,,,
TOLUCA ORIENTE  (A) AGUAS ARRIBA,150,384.25,38.6,2419600,2419600,10,2.02,32.26
TOLUCA ORIENTE  (A) AGUAS ABAJO,86,240,35.8,2419600,2419600,10,1,1
PUENTE CARRETERA TOLUCA-NAUCALPAN,95.4,116.22,44,2400,2400,10,1.21,8.2
TOLUCA NORTE  (A) AGUAS ARRIBA,176.25,264.41,105,2419600,2419600,10.8,1,7.63
TOLUCA NORTE  (A) AGUAS ABAJO,123.75,187.64,70.4,241960,241960,,1,2.12
PUENTE CARRETERA TOLUCA-TEMOAYA,65,146.9,105.8,241960,241960,10,1,2.54
RIO LERMA 54,98.2,141.42,140,2400,1100,10,1.2,5.15
RIO LERMA 4,65.52,120.33,344,2400,240,12,1.28,5.88
RIO LERMA 69,86,101.15,48,2400,2400,10,1,1
LAG. DE ALMOLOYA DEL RIO,93.91,162.84,38,460,150,,,
LAGUNA DE ALMOLOYA DEL RIO,81.61,144.71,44,1100,120,,,
PUENTE DIF SOLIS,98.6,132.93,102,150,28,38.6,1,1
CERRO BLANCO,73,341.79,241.5,547500,517200,95.5,1,1.96
RIO LERMA 28,81,149.21,198,488400,270000,10.7,1,1
RIO LERMA 27,95.5,146.38,206.5,241960,241960,10,1,1.65
SAN GUILLERMO (DESEP.RIO GUANAJUATO),77.5,145.36,309.5,241960,241960,13.9,1,1.48
CERRO BLANCO DE MANCERA,187.5,317.44,758,24196,24196,10,1,1.14
RT-9 RIO TURBIO-PUENTE RIO TURBIO (T. BLANCAS),284.75,388.72,784,1413600,1413600,10,1,7.69
RT-4 RIO TURBIO-ESTANCIA DE VAQUEROS,105.5,1190,239.5,2419600,2419600,10,1,100
AF-3 ARROYO HONDO-A.A. RIO TURBIO,213.75,3253.75,1207,241960,241960,19.6,2.49,15.38
AF-2 ARROYO LAS MULAS-A.A. ARROYO HONDO,106,931.5,178.8,2419600,2419600,10,1,1
LEON  (A) AGUAS ARRIBA,94,152.26,27.7,2419600,2419600,46.6,2.55,1
LEON  (A) AGUAS ABAJO,134,1731.5,479,241960,241960,20.9,2.55,31.25
AF-4 RIO SANTIAGO-A.A. RIO TURBIO,106.5,466.75,65.4,2419600,2419600,10,1,2.16
RT-6 RIO TURBIO-PASO DE OVEJAS,100.5,726.75,177.5,2419600,2419600,13.2,3.98,24.39
RIO GUANAJUATO,144.25,196.87,104.2,96000,35500,10,1,5.81
RT-8 RIO TURBIO-LAS ADJUNTAS,113,197.38,100.6,461100,115300,10,1,1.68
RÍO GUANAJUATO,65,101.59,24,24196,24196,,1,1
RIO LERMA 26,66,88.44,21.4,5475,683,46,1,1
RT-7 BIS CANAL ISABELOTA EN MARAVILLAS,488,614.87,88,24196,24196,,1,19.61
PRESA DERIVADORA TLAMACO-JUANDHO (RS1),237.75,303.32,136,2400,2400,30.5,1,1
KM 0+00 CANAL ENDHO (SOT),132.31,163.39,14,2400,2400,33,1,1
PRESA ENDHÓ 4,104.11,198.46,56,2400,2400,,,
