SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,2.0,10.0,21.2,288.0,41.0,72.375,1.0,1.0
RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,112.0,173.64,40.9,241960.0,241960.0,28.0,1.0954,2.6206
PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,5.5,64.59,45.5,695.0,3.0,74.2563,1.0,1.0
LOS CABOS 1,18.1666,30.462,10.3,3.0,16.2292,77.3188,1.0573,1.0344
BAHIA CABO SAN LUCAS,17.6174,27.1193,10.0,52.0,17.375,78.175,1.0573,1.0344
LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,10.2779,22.7021,10.0,24196.0,175995.4167,72.0958,1.1119,1.2377
"PLAYA SANTA ROSALIA SEG23, 1 ISA8A",10.2779,22.7021,11.5,24196.0,175995.4167,72.6667,1.1119,1.2377
LAGUNA SAN IGNACIO 7,18.418,30.462,14.4,3.0,16.2292,77.3188,1.0573,1.0344
LAGUNA SAN IGNACIO,18.1666,30.462,11.1,3.0,16.2292,77.3188,1.0573,1.0344
LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),18.1366,30.462,12.2,3.0,16.2292,77.3188,1.0573,1.0344
LAGUNA OJO DE LIEBRE 4,18.1366,28.6134,13.0,10.0,16.2292,77.3188,1.0573,1.0344
BAHIA MAGDALENA (PUERTO ADOLFO LOPEZ MATEOS),18.4523,38.1746,61.2,24196.0,15985.6875,69.0135,1.0108,1.3383
BAHIA MAGDALENA (PUERTO SAN CARLOS),18.418,30.462,16.4,3.0,16.2292,77.3188,1.0573,1.0344
BAHIA MAGDALENA 1,18.418,30.462,52.9,3.0,16.2292,77.3188,1.0573,1.0344
BOCANA LOPEZ MATEOS,3.9442,18.5865,33.2,1664.0,1378.75,69.8417,1.0042,1.1344
BAHIA DE LA PAZ PUERTO PILCHILINGUE,17.5991,27.753,14.6,31.0,16.6458,77.3312,1.0573,1.0344
BAHIA DE LA PAZ,18.1666,30.462,10.0,3.0,16.2292,77.3188,1.0573,1.0344
"BAHIA DE LA PAZ SEG 25, 3 ISA9",18.1366,30.462,12.5,3.0,16.2292,77.3188,1.0573,1.0344
HUMEDALES EL MOGOTE - ENSENADA DE LA PAZ 1,18.418,30.462,23.0,3.0,16.2292,77.3188,1.0573,1.0344
EL SARGENTO Y LA VENTANA,18.1666,30.462,10.0,3.0,16.2292,77.3188,1.0573,1.0344
CABO PULMO 2,11.4625,23.2398,20.5,148.0,67.9583,70.0333,1.0,1.0042
BAHIA SAN JOSE DEL CABO,18.418,30.462,29.5,3.0,16.2292,77.3188,1.0573,1.0344
BAHIA SAN JOSE DEL CABO1,18.418,30.462,16.1,3.0,16.2292,77.3188,1.0573,1.0344
RESERVA DE LA BIOSFERA LOS PETENES 1,18.1557,27.1193,10.0,43.0,17.375,78.175,1.0573,1.0344
LAGUNA DE TERMINOS 3,18.418,28.6134,21.0,9.0,16.2292,77.3188,1.0573,1.0344
ISLA AGUADA,18.418,30.462,30.0,3.0,16.2292,77.3188,1.0573,1.0344
ZACATAL,18.418,30.462,43.0,3.0,16.2292,77.3188,1.0573,1.0344
"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SABINES",3.67,10.0,44.0,210.0,28.0,70.8396,1.0,1.0042
"PRESA VENUSTIANO CARRANZA, CENTRO",4.69,18.06,23.0,2400.0,2400.0,67.0021,1.0044,1.15
"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SALADO",5.68,22.72,126.0,1100.0,1100.0,64.7729,1.0,1.0
"PRESA VENUSTIANO CARRANZA, SURESTE",4.48,21.44,43.6458,2400.0,2400.0,67.0021,1.0044,1.15
"PRESA VENUSTIANO CARRANZA, SUROESTE",5.53,43.13,173.0,2400.0,460.0,69.125,1.0096,1.1825
CORTINA PRESA VENUSTIANO CARRANZA,2.13,27.96,19.0,2400.0,2400.0,67.0021,1.0044,1.15
"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (A) (AGUAS ABAJO)",131.25,231.23,42.6,2419600.0,2419600.0,35.6562,1.6,1.95
CORTINA PRESA LA AMISTAD,2.0,10.0,10.0,435.0,3.0,70.65,1.0,1.0
PRESA INTERNACIONAL LA AMISTAD 4,4.12,12.54,10.0,4884.0,31.0,81.0667,1.0,1.0
