SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
CARMINA 2,2.0,10.0,10.0,1076.0,41.0,97.9,1.0,1.0
MANANTIAL SAN REGIS,2.0,10.0,13.2,1956.0,98.0,81.6,1.0,1.0
AGUA CALIENTE II,5.372916666666666,10.0,10.0,355.0,20.0,108.9,1.0,1.0
BOCA DE LA SIERRA,2.0,10.0,10.0,52.0,3.0,120.7,1.0,1.0
MANANTIAL SAN BARTOLO,2.0,10.0,26.9875,173.0,3.0,98.9,1.0,1.0
RIO MULEGE 2,2.0,10.0,10.0,1528.25,3.0,118.6,1.0,1.0
RIO MULEGE 1,2.0,49.13,10.0,9804.0,10.0,103.8,1.0,1.0
MANANTIAL SAN JOSE DEL CABO,2.0,10.0,10.0,3282.0,638.0,85.8,1.0,1.0
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,2.0,26.29,24.8,2733.5833333333335,226.0,88.79166666666667,1.0,1.0
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,2.0,10.0,10.0,6549.166666666667,313.0,80.0,1.0,1.0
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,2.0,10.0,81.64583333333333,12997.0,116.0,86.4,1.0,1.0
RIO PALIZADA AGUAS ABAJO DEL POBLADO,5.3,12.42,286.7,3873.0,512.0,74.0,1.0,1.0
PUENTE SAN FRANCISCO,5.7,18.234583333333333,258.0,6335.375,561.0,80.8,1.0,1.0
MANANTIAL AGUAS VERDES,10.8,22.45,10.0,460.0,150.0,46.1,1.0,1.0
PUENTE NUEVO COAHUILA,15.36,23.42,16.0,1100.0,1100.0,46.0,1.0,1.0
CANDELARIA,14.88,24.4,14.0,75.0,75.0,94.2,1.0,1.0
IGNACIO ZARAGOZA,11.28,19.52,24.0,2400.0,1100.0,95.2,1.0,1.0
CANDELARIA PUENTE AGUAS ABAJO DEL POBLADO,14.07,21.47,18.0,210.0,120.0,56.7,1.0,1.0
VENUSTIANO CARRANZA,15.33,24.4,12.0,43.0,43.0,82.8,1.0,1.0
"KM 0+000, PUENTE INTERNACIONAL CIUDAD JUAREZ",4.5,68.0,151.8,24196.0,24196.0,107.7,1.0,1.0
RIO BRAVO 19,6.3,10.0,284.7,15531.0,61.0,137.1,1.0,1.0
RH24-8 BRAVO CONCHOS,5.2,19.78,266.7,2581.1666666666665,75.0,79.07916666666667,1.0,1.0
RIO BRAVO 18,4.0,10.0,116.2,1784.625,10.0,97.0,1.0,1.0
RIO SAN PEDRO-PUENTE MEOQUI,2.0,10.0,17.4,4884.0,20.0,138.1,1.0,1.0
RIO SABINAS 6,2.0,10.0,24.6,2613.0,52.0,112.2,1.0,1.0
RIO SABINAS 4,2.0,10.0,26.4,2909.0,305.5416666666667,94.15000000000002,1.0,1.0
PUENTE RIO SABINAS,2.0,10.0,11.9,3448.0,324.0,109.2,1.0,1.0
AGUAS ABAJO DE SABINAS,2.0,10.0,12.3,5475.0,520.0,99.5,1.0,1.0
AGUAS ABAJO DEL POBLADO NUEVA ROSITA,2.0,10.0,10.1,2778.0,259.0,102.1,1.0,1.0
AGUAS ARRIBA DEL POBLADO NUEVA ROSITA,2.0,16.564583333333335,10.0,789.0,20.0,114.5,1.0,1.0
EN POBLADO DE SAN JUAN DE SABINAS,2.0,10.0,10.0,1210.0,20.0,109.1,1.0,1.0
RIO SABINAS 3,2.0,10.0,10.0,933.0,84.0,105.3,1.0,1.0
RIO SABINAS 2,2.0,10.0,10.0,1081.0,10.0,106.8,1.0,1.0
RIO SABINAS 1,2.0,10.0,13.2,1500.0,2377.7916666666665,107.1,1.0,1.0
TOMA DE AGUA DE CFE,2.0,10.0,24.2,1793.0,20.0,123.4,1.0,1.0
RIO BRAVO 11,2.0,10.0,18.5,4947.229166666667,175.0,136.5,1.0,1.0
AGUAS ARRIBA DE CONFLUENCIA CON RIO BRAVO,2.0,10.82,20.0,24196.0,1266.0,109.2,1.0,1.0
PUENTE INTERNACIONAL PIEDRAS NEGRAS,12.998333333333333,10.0,20.0,2359.0,279.0,128.8,1.0,1.0
RIO BRAVO POBLADO BALCONES,2.0,10.0,10.5,5346.145833333333,144.0,86.32083333333333,1.0,1.0
PARQUE INDUSTRIAL ACUÑA,3.5058333333333334,15.724583333333333,10.0,1872.0,20.0,119.0,1.0,1.0
