SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,2.0,10.0,21.2,288.0,41.0,71.3785,0.9877,0.9342
RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,112.0,173.64,40.9,241960.0,241960.0,28.0,1.2477,5.4111
PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,5.5,64.59,45.5,695.0,3.0,70.7141,0.9989,1.1007
LOS CABOS 1,25.8632,88.1593,10.3,3.0,54274.378,67.2325,1.0547,1.9519
BAHIA CABO SAN LUCAS,25.8633,88.1579,10.0,52.0,54277.0028,67.2327,1.0547,1.9519
LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,25.8829,88.0244,10.0,24196.0,55242.4755,67.2411,1.0547,1.9501
"PLAYA SANTA ROSALIA SEG23, 1 ISA8A",25.8827,88.0299,11.5,24196.0,55239.1488,67.2404,1.0547,1.9501
LAGUNA SAN IGNACIO 7,25.8626,88.1742,14.4,3.0,54265.2849,67.2305,1.0547,1.9518
LAGUNA SAN IGNACIO,25.8631,88.1622,11.1,3.0,54272.6038,67.2322,1.0547,1.9519
LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),25.8629,88.1662,12.2,3.0,54270.1641,67.2316,1.0547,1.9519
LAGUNA OJO DE LIEBRE 4,25.8628,88.1691,13.0,10.0,54268.6698,67.2312,1.0547,1.9518
BAHIA MAGDALENA (PUERTO ADOLFO LOPEZ MATEOS),25.8755,88.2108,61.2,24196.0,55128.9222,67.2162,1.0546,1.9489
BAHIA MAGDALENA (PUERTO SAN CARLOS),25.8623,88.1815,16.4,3.0,54260.8492,67.2296,1.0547,1.9518
BAHIA MAGDALENA 1,25.857,88.3144,52.9,3.0,54179.8981,67.2118,1.0546,1.9509
BOCANA LOPEZ MATEOS,25.8612,88.2335,33.2,1664.0,54290.0098,67.2219,1.0546,1.9512
BAHIA DE LA PAZ PUERTO PILCHILINGUE,25.8626,88.1748,14.6,31.0,54265.961,67.2305,1.0547,1.9518
BAHIA DE LA PAZ,25.8633,88.1582,10.0,3.0,54275.0434,67.2327,1.0547,1.9519
"BAHIA DE LA PAZ SEG 25, 3 ISA9",25.8629,88.1673,12.5,3.0,54269.4988,67.2315,1.0547,1.9519
HUMEDALES EL MOGOTE - ENSENADA DE LA PAZ 1,25.8614,88.2055,23.0,3.0,54246.2115,67.2263,1.0547,1.9516
EL SARGENTO Y LA VENTANA,25.8633,88.1582,10.0,3.0,54275.0434,67.2327,1.0547,1.9519
CABO PULMO 2,25.8619,88.1956,20.5,148.0,54257.5544,67.2276,1.0547,1.9517
BAHIA SAN JOSE DEL CABO,25.8604,88.2292,29.5,3.0,54231.7955,67.2232,1.0546,1.9514
BAHIA SAN JOSE DEL CABO1,25.8624,88.1804,16.1,3.0,54261.5146,67.2297,1.0547,1.9518
RESERVA DE LA BIOSFERA LOS PETENES 1,25.8633,88.158,10.0,43.0,54276.6429,67.2327,1.0547,1.9519
LAGUNA DE TERMINOS 3,25.8617,88.1982,21.0,9.0,54250.8871,67.2273,1.0547,1.9516
ISLA AGUADA,25.8604,88.231,30.0,3.0,54230.6866,67.2229,1.0546,1.9514
ZACATAL,25.8585,88.2783,43.0,3.0,54201.8547,67.2166,1.0546,1.9511
"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SABINES",3.67,10.0,44.0,210.0,28.0,71.1534,0.9917,0.985
"PRESA VENUSTIANO CARRANZA, CENTRO",4.69,18.06,23.0,2400.0,2400.0,70.9811,0.9948,1.0311
"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SALADO",5.68,22.72,126.0,1100.0,1100.0,70.7983,0.9973,1.0613
"PRESA VENUSTIANO CARRANZA, SURESTE",4.48,21.44,237.8204,2400.0,2400.0,70.8899,0.9942,1.0232
"PRESA VENUSTIANO CARRANZA, SUROESTE",5.53,43.13,173.0,2400.0,460.0,70.7247,0.9978,1.0762
CORTINA PRESA VENUSTIANO CARRANZA,2.13,27.96,19.0,2400.0,2400.0,71.2742,0.989,0.9632
"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (A) (AGUAS ABAJO)",131.25,231.23,42.6,2419600.0,2419600.0,35.2734,1.6,1.95
CORTINA PRESA LA AMISTAD,2.0,10.0,10.0,435.0,3.0,71.3844,0.9877,0.9343
PRESA INTERNACIONAL LA AMISTAD 4,4.12,12.54,10.0,4884.0,31.0,71.1044,0.993,1.0021
REPRESA HIDRAULICA DEL RIO,2.0,16.72,25.0,2755.0,3.0,71.3527,0.988,0.9411
PRESA INTERNACIONAL LA AMISTAD 5,2.0,10.0,25.2,384.0,3.0,71.3769,0.9877,0.934
PRESA INTERNACIONAL LA AMISTAD 6,2.0,10.0,10.0,345.0,3.0,71.3843,0.9877,0.9343
PRESA INTERNACIONAL LA AMISTAD 1,2.0,18.39,10.0,1607.0,3.0,71.3534,0.9881,0.9434
PRESA INTERNACIONAL LA AMISTAD 2,2.0,10.0,18.9,1037919.237,31.0,71.6029,0.9874,0.8868
PRESA INTERNACIONAL LA AMISTAD 3,2.0,17.56,10.0,1063136.7,10.0,71.5791,0.9878,0.8952
AREA DE PROTECCION DE FLORA Y FAUNA CUATRO CIENEGAS  1,2.0,10.0,10.0,1782.0,3.0,71.3848,0.9877,0.9342
AREA DE PROTECCION DE FLORA Y FAUNA CUATRO CIENEGAS  3,2.0,10.0,10.0,2359.0,3.0,71.385,0.9877,0.9342
AREA DE PROTECCION DE FLORA Y FAUNA CUATRO CIENEGAS  4,2.0,10.0,10.0,663.0,3.0,71.3844,0.9877,0.9343
LAGUNA VALLE DE LAS GARZAS MANZANILLO,25.8787,88.1304,39.1,24196.0,55177.9364,67.2269,1.0546,1.9494
CARRETERA LIBRE CRUCERO DE CUYUTLAN,25.8605,88.3952,92.1,11199.0,54540.6656,67.1965,1.0546,1.9491
LAGUNA DE SANTIAGUILLO 1,3.7,20.9,10.0,1320.0,630.0,71.12,0.9924,0.9999
CIENEGAS DE LERMA 3,58.56,89.37,22.0,120.0,75.0,63.8298,1.1303,2.762
TOLUCA NORTE  (A) AGUAS ABAJO,123.75,187.64,70.4,241960.0,241960.0,52.4885,1.0,2.12
PRESA VILLA VICTORIA 2,47.4,61.92,44.0,120.0,39.0,65.3529,1.1015,2.3879
PRESA VILLA VICTORIA 1,20.82,38.4,16.0,460.0,240.0,68.8603,1.0352,1.5451
CORTINA PRESA VALLE DE BRAVO,21.9,35.04,20.0,2400.0,460.0,68.731,1.0377,1.575
LAG. DE ALMOLOYA DEL RIO,93.91,162.84,38.0,460.0,150.0,59.0147,1.2206,3.9302
LAGUNA DE ALMOLOYA DEL RIO,81.61,144.71,44.0,1100.0,120.0,60.657,1.1895,3.5315
PRESA ZIMAPAN FRENTE A LA CONFLUENCIA CON EL RÍO SAN JUAN DEL RÍO,2.0,10.0,114.2,11199.0,85.0,71.3365,0.9876,0.9313
