SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
CARMINA 2,2.0,10.0,10.0,1076.0,41.0,97.9,1.0,1.0
MANANTIAL SAN REGIS,2.0,10.0,13.2,1956.0,98.0,81.6,1.0,1.0
AGUA CALIENTE II,2.0,10.0,10.0,355.0,20.0,108.9,1.0,1.0
BOCA DE LA SIERRA,2.0,10.0,10.0,52.0,3.0,120.7,1.0,1.0
MANANTIAL SAN BARTOLO,2.0,10.0,10.0,173.0,3.0,98.9,1.0,1.0
RIO MULEGE 2,2.0,10.0,10.0,2481.0,3.0,118.6,1.0,1.0
RIO MULEGE 1,2.0,49.13,10.0,9804.0,10.0,103.8,1.0,1.0
MANANTIAL SAN JOSE DEL CABO,2.0,10.0,10.0,3282.0,638.0,85.8,1.0,1.0
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,2.0,26.29,24.8,11199.0,226.0,92.7,1.0,1.0
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,2.0,10.0,10.0,6131.0,313.0,80.0,1.0,1.0
SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,2.0,10.0,10.0,12997.0,116.0,86.4,1.0,1.0
RIO PALIZADA AGUAS ABAJO DEL POBLADO,5.3,12.42,286.7,3873.0,512.0,74.0,1.0,1.0
PUENTE SAN FRANCISCO,5.7,10.0,258.0,3654.0,561.0,80.8,1.0,1.0
MANANTIAL AGUAS VERDES,10.8,22.45,10.0,460.0,150.0,46.1,1.0,1.0
PUENTE NUEVO COAHUILA,15.36,23.42,16.0,1100.0,1100.0,46.0,1.0,1.0
CANDELARIA,14.88,24.4,14.0,75.0,75.0,94.2,1.0,1.0
IGNACIO ZARAGOZA,11.28,19.52,24.0,2400.0,1100.0,95.2,1.0,1.0
CANDELARIA PUENTE AGUAS ABAJO DEL POBLADO,14.07,21.47,18.0,210.0,120.0,56.7,1.0,1.0
VENUSTIANO CARRANZA,15.33,24.4,12.0,43.0,43.0,82.8,1.0,1.0
"KM 0+000, PUENTE INTERNACIONAL CIUDAD JUAREZ",4.5,68.0,151.8,24196.0,24196.0,107.7,1.0,1.0
RIO BRAVO 19,6.3,10.0,284.7,15531.0,61.0,137.1,1.0,1.0
PLANTA NORTE,8.3,27.52,517.3,24196.0,24196.0,90.6,1.0,1.0
PLANTA SUR,22.1,31.26,17.5,24196.0,24196.0,67.4,4.83,1.03
RH24-8 BRAVO CONCHOS,5.2,19.78,266.7,935.0,75.0,108.3,1.0,1.0
PUENTE PRESIDIO-OJINAGA,2.0,14.62,735.0,598.0,41.0,97.0,1.0,1.0
RIO BRAVO 18,4.0,10.0,116.2,242.0,10.0,97.0,1.0,1.0
RH24-5 BRAVO CONCHOS,4.3,73.13,1337.5,24196.0,3448.0,106.0,1.0,1.0
RIO SAN PEDRO-PUENTE MEOQUI,2.0,10.0,17.4,4884.0,20.0,138.1,1.0,1.0
RIO SABINAS 6,2.0,10.0,24.6,2613.0,52.0,112.2,1.0,1.0
RIO SABINAS 4,2.0,10.0,26.4,2909.0,20.0,111.8,1.0,1.0
PUENTE RIO SABINAS,2.0,10.0,11.9,3448.0,324.0,109.2,1.0,1.0
AGUAS ABAJO DE SABINAS,2.0,10.0,12.3,5475.0,520.0,99.5,1.0,1.0
AGUAS ABAJO DEL POBLADO NUEVA ROSITA,2.0,10.0,10.1,2778.0,259.0,102.1,1.0,1.0
AGUAS ARRIBA DEL POBLADO NUEVA ROSITA,2.0,10.0,10.0,789.0,20.0,114.5,1.0,1.0
EN POBLADO DE SAN JUAN DE SABINAS,2.0,10.0,10.0,1210.0,20.0,109.1,1.0,1.0
RIO SABINAS 3,2.0,10.0,10.0,933.0,84.0,105.3,1.0,1.0
RIO SABINAS 2,2.0,10.0,10.0,1081.0,10.0,106.8,1.0,1.0
RIO SABINAS 1,2.0,10.0,13.2,1500.0,10.0,107.1,1.0,1.0
"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (C) (AGUAS ARRIBA)",94.5,209.33,28.1,24196.0,24196.0,17.5,1.48,1.53
TOMA DE AGUA DE CFE,2.0,10.0,24.2,1793.0,20.0,123.4,1.0,1.0
RIO BRAVO 11,2.0,10.0,18.5,2046.0,175.0,136.5,1.0,1.0
AGUAS ARRIBA DE CONFLUENCIA CON RIO BRAVO,2.0,10.82,20.0,24196.0,1266.0,109.2,1.0,1.0
