SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,2.0,10.0,21.2,288.0,41.0,,,
RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,112.0,173.64,40.9,241960.0,241960.0,28.0,,
PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,5.5,64.59,45.5,695.0,3.0,,,
LOS CABOS 1,,,10.3,3.0,,,,
BAHIA CABO SAN LUCAS,,,10.0,52.0,,,,
LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,,,10.0,24196.0,,,,
"PLAYA SANTA ROSALIA SEG23, 1 ISA8A",,,11.5,24196.0,,,,
LAGUNA SAN IGNACIO 7,,,14.4,3.0,,,,
LAGUNA SAN IGNACIO,,,11.1,3.0,,,,
LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),,,12.2,3.0,,,,
LAGUNA OJO DE LIEBRE 4,,,13.0,10.0,,,,
BAHIA MAGDALENA (PUERTO ADOLFO LOPEZ MATEOS),,,61.2,24196.0,,,,
BAHIA MAGDALENA (PUERTO SAN CARLOS),,,16.4,3.0,,,,
BAHIA MAGDALENA 1,,,52.9,3.0,,,,
BOCANA LOPEZ MATEOS,,,33.2,1664.0,,,,
BAHIA DE LA PAZ PUERTO PILCHILINGUE,,,14.6,31.0,,,,
BAHIA DE LA PAZ,,,10.0,3.0,,,,
"BAHIA DE LA PAZ SEG 25, 3 ISA9",,,12.5,3.0,,,,
HUMEDALES EL MOGOTE - ENSENADA DE LA PAZ 1,,,23.0,3.0,,,,
EL SARGENTO Y LA VENTANA,,,10.0,3.0,,,,
CABO PULMO 2,,,20.5,148.0,,,,
BAHIA SAN JOSE DEL CABO,,,29.5,3.0,,,,
BAHIA SAN JOSE DEL CABO1,,,16.1,3.0,,,,
RESERVA DE LA BIOSFERA LOS PETENES 1,,,10.0,43.0,,,,
LAGUNA DE TERMINOS 3,,,21.0,9.0,,,,
ISLA AGUADA,,,30.0,3.0,,,,
ZACATAL,,,43.0,3.0,,,,
"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SABINES",3.67,10.0,44.0,210.0,28.0,,,
"PRESA VENUSTIANO CARRANZA, CENTRO",4.69,18.06,23.0,2400.0,2400.0,,,
"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SALADO",5.68,22.72,126.0,1100.0,1100.0,,,
"PRESA VENUSTIANO CARRANZA, SURESTE",4.48,21.44,,2400.0,2400.0,,,
"PRESA VENUSTIANO CARRANZA, SUROESTE",5.53,43.13,173.0,2400.0,460.0,,,
CORTINA PRESA VENUSTIANO CARRANZA,2.13,27.96,19.0,2400.0,2400.0,,,
"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (A) (AGUAS ABAJO)",131.25,231.23,42.6,2419600.0,2419600.0,,1.6,1.95
CORTINA PRESA LA AMISTAD,2.0,10.0,10.0,435.0,3.0,,,
PRESA INTERNACIONAL LA AMISTAD 4,4.12,12.54,10.0,4884.0,31.0,,,
REPRESA HIDRAULICA DEL RIO,2.0,16.72,25.0,2755.0,3.0,,,
PRESA INTERNACIONAL LA AMISTAD 5,2.0,10.0,25.2,384.0,3.0,,,
PRESA INTERNACIONAL LA AMISTAD 6,2.0,10.0,10.0,345.0,3.0,,,
PRESA INTERNACIONAL LA AMISTAD 1,2.0,18.39,10.0,1607.0,3.0,,,
PRESA INTERNACIONAL LA AMISTAD 2,2.0,10.0,18.9,,31.0,,,
PRESA INTERNACIONAL LA AMISTAD 3,2.0,17.56,10.0,,10.0,,,
AREA DE PROTECCION DE FLORA Y FAUNA CUATRO CIENEGAS  1,2.0,10.0,10.0,1782.0,3.0,,,
AREA DE PROTECCION DE FLORA Y FAUNA CUATRO CIENEGAS  3,2.0,10.0,10.0,2359.0,3.0,,,
AREA DE PROTECCION DE FLORA Y FAUNA CUATRO CIENEGAS  4,2.0,10.0,10.0,663.0,3.0,,,
LAGUNA VALLE DE LAS GARZAS MANZANILLO,,,39.1,24196.0,,,,
CARRETERA LIBRE CRUCERO DE CUYUTLAN,,,92.1,11199.0,,,,
LAGUNA DE SANTIAGUILLO 1,3.7,20.9,10.0,1320.0,630.0,,,
CIENEGAS DE LERMA 3,58.56,89.37,22.0,120.0,75.0,,,
TOLUCA NORTE  (A) AGUAS ABAJO,123.75,187.64,70.4,241960.0,241960.0,,1.0,2.12
PRESA VILLA VICTORIA 2,47.4,61.92,44.0,120.0,39.0,,,
PRESA VILLA VICTORIA 1,20.82,38.4,16.0,460.0,240.0,,,
CORTINA PRESA VALLE DE BRAVO,21.9,35.04,20.0,2400.0,460.0,,,
LAG. DE ALMOLOYA DEL RIO,93.91,162.84,38.0,460.0,150.0,,,
LAGUNA DE ALMOLOYA DEL RIO,81.61,144.71,44.0,1100.0,120.0,,,
PRESA ZIMAPAN FRENTE A LA CONFLUENCIA CON EL RÍO SAN JUAN DEL RÍO,2.0,10.0,114.2,11199.0,85.0,,,
RIO LERMA 29,2.0,118.26,92.3,24196.0,24196.0,,1.0,1.0
PRESA SOLIS 1,,,,,,,,
