,SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,Type
count,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,KNN with MinMax Scaling
mean,857.7980266976205,0.014622112594312245,0.009077074869413811,0.0026366802089378993,0.0009,0.001705977945443993,0.4027531050493326,0.006551247823563552,0.007722518862449217,KNN with MinMax Scaling
std,496.1007410252613,0.05143595211957533,0.038697196869563494,0.02528197635822203,0.02650156132406618,0.03475630164895428,0.18241952145139279,0.04347720366548188,0.04677574248412147,KNN with MinMax Scaling
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KNN with MinMax Scaling
25%,428.5,0.0,0.0005,0.0,0.0,0.0,0.29275,0.0,0.0,KNN with MinMax Scaling
50%,858.0,0.0029,0.0024,0.0003,0.0,0.0,0.4132,0.0,0.0,KNN with MinMax Scaling
75%,1287.5,0.0105,0.0063,0.0013,0.0,0.0,0.5372,0.0,0.0,KNN with MinMax Scaling
max,1716.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,KNN with MinMax Scaling
count,1722.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,KNN with Label Encoder
mean,857.2996515679442,25.02328380731283,73.2944023804411,163.04155008705746,1084338319.9271114,79334323.50099361,69.86889320951829,1.0608314567614625,1.6297719094602439,KNN with Label Encoder
std,495.81322007771206,85.60305408130934,297.29430021461854,1462.6046715216178,31921412821.147995,1616176936.3840244,26.133460886045913,0.36215036880481116,4.442562341917522,KNN with Label Encoder
min,0.0,2.0,10.0,10.0,3.0,3.0,10.0,1.0,1.0,KNN with Label Encoder
25%,428.25,2.0,13.618,12.0,355.0,31.299999999999997,55.32,1.0,1.0,KNN with Label Encoder
50%,857.5,6.0,27.88,27.0,2400.0,454.0,72.1,1.0,1.0,KNN with Label Encoder
75%,1286.75,18.27,49.7825,84.0,24000.0,9744.3,88.75999999999999,1.0,1.0,KNN with Label Encoder
max,1715.0,1680.0,7900.0,57880.0,1204500000000.0,46500005500.0,152.7,9.17,100.0,KNN with Label Encoder
SITIO,1.0,-0.055107995491915904,-0.0324718633944807,-0.026616847130060253,0.0016612176632720744,-0.0006111962701388529,0.05281738224780575,-0.05191120542691408,-0.02731301810723051,KNN with MinMax Scaling (Pearson)
DBO_mg/L,-0.055107995491915904,1.0,0.6095485827742231,0.016850019169597094,0.005269731376414211,-0.012165160521545756,-0.37080743022569906,0.49996082761430427,0.5704186374833136,KNN with MinMax Scaling (Pearson)
DQO_mg/L,-0.0324718633944807,0.6095485827742231,1.0,0.030506611744445567,0.0019595030938105115,-0.00889431808941957,-0.2759367731834058,0.36068417964819904,0.432932382182048,KNN with MinMax Scaling (Pearson)
SST_mg/L,-0.026616847130060253,0.016850019169597094,0.030506611744445567,1.0,-0.003316858508126778,-0.004703828148786924,-0.03404400185155846,0.004685909661993715,0.0057248130560779795,KNN with MinMax Scaling (Pearson)
COLI_FEC_NMP_100mL,0.0016612176632720744,0.005269731376414211,0.0019595030938105115,-0.003316858508126778,1.0,0.09994521507262578,0.01018755497469839,-0.005079964916999408,-0.00511125227287975,KNN with MinMax Scaling (Pearson)
E_COLI_NMP_100mL,-0.0006111962701388529,-0.012165160521545756,-0.00889431808941957,-0.004703828148786924,0.09994521507262578,1.0,-0.007614530873433187,-0.007303880920563023,-0.007546695896239186,KNN with MinMax Scaling (Pearson)
OD_PORC,0.05281738224780575,-0.37080743022569906,-0.2759367731834058,-0.03404400185155846,0.01018755497469839,-0.007614530873433187,1.0,-0.1696745860433133,-0.28822508017436815,KNN with MinMax Scaling (Pearson)
TOX_D_48_UT,-0.05191120542691408,0.49996082761430427,0.36068417964819904,0.004685909661993715,-0.005079964916999408,-0.007303880920563023,-0.1696745860433133,1.0,0.3372300622334113,KNN with MinMax Scaling (Pearson)
TOX_V_15_UT,-0.02731301810723051,0.5704186374833136,0.432932382182048,0.0057248130560779795,-0.00511125227287975,-0.007546695896239186,-0.28822508017436815,0.3372300622334113,1.0,KNN with MinMax Scaling (Pearson)
SITIO,1.0,-0.04754747797213759,-0.05056933524017015,0.061540211114111266,0.019453182232527125,0.020230450466073885,0.04903207539471916,-0.1238889417908868,-0.11815803716522172,KNN with MinMax Scaling (Spearman)
DBO_mg/L,-0.04754747797213759,1.0,0.6784543123546302,0.4307316936351025,0.01866327610517264,0.12685780159692206,-0.4760218979018481,0.2817923787133359,0.4346277368344056,KNN with MinMax Scaling (Spearman)
DQO_mg/L,-0.05056933524017015,0.6784543123546302,1.0,0.3993597997551475,0.01812609967160094,0.11490496379110393,-0.5909236994631538,0.2713040956084345,0.4085177261371656,KNN with MinMax Scaling (Spearman)
SST_mg/L,0.061540211114111266,0.4307316936351025,0.3993597997551475,1.0,-0.018410721776309234,0.01159879037914434,-0.16046872302819232,0.14521625902463822,0.18902278818341184,KNN with MinMax Scaling (Spearman)
COLI_FEC_NMP_100mL,0.019453182232527125,0.01866327610517264,0.01812609967160094,-0.018410721776309234,1.0,0.49618667413645867,-0.013130145492106516,0.008299750336276305,0.039792091509793175,KNN with MinMax Scaling (Spearman)
E_COLI_NMP_100mL,0.020230450466073885,0.12685780159692206,0.11490496379110393,0.01159879037914434,0.49618667413645867,1.0,-0.1160381008932664,0.08189965531920784,0.11778691084677495,KNN with MinMax Scaling (Spearman)
OD_PORC,0.04903207539471916,-0.4760218979018481,-0.5909236994631538,-0.16046872302819232,-0.013130145492106516,-0.1160381008932664,1.0,-0.1732811269424823,-0.31624511904655994,KNN with MinMax Scaling (Spearman)
TOX_D_48_UT,-0.1238889417908868,0.2817923787133359,0.2713040956084345,0.14521625902463822,0.008299750336276305,0.08189965531920784,-0.1732811269424823,1.0,0.6137521769193831,KNN with MinMax Scaling (Spearman)
TOX_V_15_UT,-0.11815803716522172,0.4346277368344056,0.4085177261371656,0.18902278818341184,0.039792091509793175,0.11778691084677495,-0.31624511904655994,0.6137521769193831,1.0,KNN with MinMax Scaling (Spearman)
SITIO,1.0,-0.05164586353969052,-0.019008497490952486,-0.026943971776532644,0.0016946631313925025,-0.000562531397789643,0.013190333429472787,-0.0498061345338865,-0.007417598257272551,KNN with Label Encoder (Pearson)
