,SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,Type
count,1723,1723,1723,1723,1723,1723,1723,1723,1723,LR with MinMax Scaling
mean,857.7980266976205,0.014624724318049913,0.009104179,0.002681486,0.0009,0.001705978,0.406750725,0.4519668601276843,2.4980031921067907,LR with MinMax Scaling
std,496.1007410252613,0.050066641,0.037589888,0.025222494470051027,0.026501561,0.034756302,0.17088672438376126,8.786847561610152,43.38864317702905,LR with MinMax Scaling
min,0,0,0,0,0,0,0,0,0,LR with MinMax Scaling
25%,428.5,0,0.0006,0,0,0,0.3574,0,0,LR with MinMax Scaling
50%,858,0.0041,0.003,0.0003,0,0,0.4167,0,0,LR with MinMax Scaling
75%,1287.5,0.0142,0.0098,0.0017,0,0,0.4989,0.00415,0.0062,LR with MinMax Scaling
max,1716,1,1,1,1,1,1.3502,251.7605,1078.6529,LR with MinMax Scaling
,,,,,,,,,,
count,1722,1723,1723,1723,1723,1723,1723,1723,1723,LR with Label Encoder
mean,857.2996515679442,26.543289959373187,81.80974358763784,165.20153517121295,1084379209.6480203,79339029.99014254,67.96042617527569,4.688075101567033,248.26847777132912,LR with Label Encoder
std,495.81322007771206,84.01387727351924,296.58388169984687,1459.6384643773608,31921411432.61645,1616176703.282986,24.319229548095624,71.78204873712527,4295.445307670918,LR with Label Encoder
min,0,2,10,10,3,3,0.4719,0.9742,0.095,LR with Label Encoder
25%,428.25,2,14.555,12,381.5,93,60.9,1,1,LR with Label Encoder
50%,857.5,8.87,34,28.1,2400,2400,69.4596,1,1,LR with Label Encoder
75%,1286.75,25.8598,87.12285,111.05000000000001,24000,45978.31,81.19999999999999,1.0338500000000002,1.6104500000000002,LR with Label Encoder
max,1715,1680,7900,57880,1.2045E+12,46500005500,182.6734,2057.8836,106787.6381,LR with Label Encoder
,,,,,,,,,,
SITIO,1,-0.057464582,-0.030110377,-0.02939538,0.001661218,-0.000611196,0.047514265,-0.003015212,-0.001517434,LR with MinMax Scaling (Pearson)
