SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
921.0,2.0,10.0,21.2,288.0,41.0,72.8,1.0,1.0
1456.0,112.0,173.64,40.9,241960.0,241960.0,28.0,1.0,1.308
905.0,5.5,64.59,45.5,695.0,3.0,81.42,1.0,1.0
627.0,4.718,19.242,10.3,3.0,3.0,90.64,1.248,1.206
118.0,10.306,18.21,10.0,52.0,27.4,88.84,1.0,1.0
613.0,7.653,20.739,10.0,24196.0,1396466.4,78.56,1.0,1.0
765.0,6.799,29.436,11.5,24196.0,62311.8,69.08,1.0,1.704
610.0,5.106,19.242,14.4,3.0,3.0,91.86,1.0,1.126
609.0,4.718,19.242,11.1,3.0,3.0,90.64,1.248,1.206
602.0,4.718,19.242,12.2,3.0,3.0,90.64,1.248,1.206
603.0,12.713,24.265,13.0,10.0,4.4,76.2,1.0,1.084
123.0,10.94,32.452,61.2,24196.0,17391.2,75.46,1.0,1.0
124.0,3.356,10.0,16.4,3.0,3.0,100.3,1.248,1.08
125.0,31.94,41.456,52.9,3.0,9.2,64.56,1.302,1.0
170.0,2.7,16.712,33.2,1664.0,309.0,102.48,1.0,1.0
121.0,49.724,80.514,14.6,31.0,5.8,47.32,1.0,1.0
120.0,4.718,19.242,10.0,3.0,3.0,90.64,1.248,1.206
122.0,4.718,19.242,12.5,3.0,3.0,90.64,1.248,1.206
392.0,20.148,30.488,23.0,3.0,3.2,83.7,1.0,1.0
312.0,4.718,19.242,10.0,3.0,3.0,90.64,1.248,1.206
183.0,10.326,18.186,20.5,148.0,72.0,69.46,1.0,1.0
127.0,18.27,28.248,29.5,3.0,3.8,81.14,1.0,1.0
128.0,3.356,10.0,16.1,3.0,3.0,107.36,1.0,1.126
1092.0,10.276,26.61,10.0,43.0,19.8,65.8,1.0,1.0
566.0,22.426,33.96,21.0,9.0,4.0,73.66,1.0,1.0
401.0,18.27,28.248,30.0,3.0,3.8,81.14,1.0,1.0
1711.0,33.736,42.018,43.0,3.0,7.8,80.66,1.0,1.0
947.0,3.67,10.0,44.0,210.0,28.0,53.44,1.0,1.0
946.0,4.69,18.06,23.0,2400.0,2400.0,84.6,1.0,1.0
948.0,5.68,22.72,126.0,1100.0,1100.0,58.7,1.0,1.0
949.0,4.48,21.44,29.0,2400.0,2400.0,75.0,1.0,1.0
950.0,5.53,43.13,173.0,2400.0,460.0,57.76,1.036,1.776
235.0,2.13,27.96,19.0,2400.0,2400.0,79.2,1.0,1.0
362.0,131.25,231.23,42.6,2419600.0,2419600.0,17.48,1.6,1.95
233.0,2.0,10.0,10.0,435.0,3.0,66.0,1.0,1.0
864.0,4.12,12.54,10.0,4884.0,31.0,84.82,1.0,1.0
1090.0,2.0,16.72,25.0,2755.0,3.0,98.94,1.0,1.0
865.0,2.0,10.0,25.2,384.0,3.0,75.92,1.0,1.0
866.0,2.0,10.0,10.0,345.0,3.0,87.38,1.0,1.0
861.0,2.0,18.39,10.0,1607.0,3.0,98.62,1.0,1.0
862.0,2.0,10.0,18.9,2768.0,31.0,95.88,1.0,1.0
863.0,2.0,17.56,10.0,881.15,10.0,116.32,1.0,1.084
73.0,2.0,10.0,10.0,1782.0,3.0,104.26,1.0,1.0
74.0,2.0,10.0,10.0,2359.0,3.0,67.38,1.0,1.0
75.0,2.0,10.0,10.0,663.0,3.0,96.08,1.0,1.0
616.0,7.38,32.968,39.1,24196.0,24196.0,68.7,1.0,1.49
205.0,5.76,16.362,92.1,11199.0,472.6,62.52,1.0,1.0
563.0,3.7,20.9,10.0,1320.0,630.0,48.0,1.0,1.0
220.0,58.56,89.37,22.0,120.0,75.0,62.62,1.0,1.0
1674.0,123.75,187.64,70.4,241960.0,241960.0,12.22,1.0,2.12
958.0,47.4,61.92,44.0,120.0,39.0,62.0,1.0,1.0
957.0,20.82,38.4,16.0,460.0,240.0,55.08,1.0,1.0
234.0,21.9,35.04,20.0,2400.0,460.0,63.56,1.0,1.0
438.0,93.91,162.84,38.0,460.0,150.0,65.6,1.0,1.0
538.0,81.61,144.71,44.0,1100.0,120.0,80.84,1.0,1.0
966.0,2.0,10.0,114.2,11199.0,85.0,60.92,1.0,1.0
1318.0,2.0,118.26,92.3,24196.0,24196.0,53.64,1.0,1.0
938.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
940.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
939.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
941.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
942.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
944.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
943.0,26.3497,85.4603,239.2342,638893.7171,79314.6654,67.3441,1.0542,1.8991
1583.0,65.0,101.59,24.0,24196.0,24196.0,24.56,1.0,1.0
50.0,36.8,85.44,57.5,6488.0,1624.0,86.3,1.0,1.0
501.0,2.0,27.98,10.0,98.0,10.0,66.72,1.0,1.0
499.0,4.42,23.74,29.3,241.0,62.0,56.86,1.0,1.0
498.0,2.0,30.49,19.2,86.0,3.0,56.82,1.0,1.0
500.0,2.0,27.14,14.8,122.0,10.0,66.72,1.0,1.0
1567.0,488.0,614.87,88.0,24196.0,24196.0,14.34,1.0,19.61
