SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
921,0.0,0.0,0.0002,0.0,0.0,0.3691,0.0,0.0
1456,0.0656,0.0207,0.0005,0.0,0.0,0.1261,0.0,0.1077
905,0.0021,0.0069,0.0006,0.0,0.0,0.3886,0.0267,0.0
627,0.0018,0.0008,0.0,0.0,0.0,0.5574,0.0,0.0
118,0.0069,0.0019,0.0,0.0,0.0,0.5169,0.0,0.0
613,0.0029,0.0009,0.0,0.0,0.0,0.5372,0.0,0.0
765,0.0026,0.0021,0.0,0.0,0.0,0.5074,0.0,0.0071
610,0.0042,0.0011,0.0001,0.0,0.0,0.5515,0.0,0.0
609,0.0002,0.0002,0.0,0.0,0.0,0.3753,0.0,0.0
602,0.0061,0.0015,0.0,0.0,0.0,0.408,0.0,0.0
603,0.0064,0.0037,0.0001,0.0,0.0,0.4118,0.0,0.0
123,0.015,0.0053,0.0009,0.0,0.0,0.3793,0.0,0.0
124,0.0019,0.0005,0.0001,0.0,0.0,0.5884,0.0,0.0
125,0.0165,0.0075,0.0007,0.0,0.0,0.2153,0.0,0.0072
170,0.0036,0.0013,0.0004,0.0,0.0,0.3973,0.0,0.0
121,0.0003,0.0021,0.0001,0.0,0.0,0.5424,0.0267,0.0
120,0.0069,0.0019,0.0,0.0,0.0,0.5169,0.0,0.0
122,0.0008,0.0006,0.0,0.0,0.0,0.4111,0.0,0.0
392,0.0025,0.0025,0.0002,0.0,0.0,0.4713,0.0,0.0
312,0.0069,0.0019,0.0,0.0,0.0,0.5169,0.0,0.0
183,0.0,0.0,0.0002,0.0,0.0,0.4595,0.0,0.0
127,0.0,0.0024,0.0003,0.0,0.0,0.5469,0.0,0.0
128,0.0047,0.0015,0.0001,0.0,0.0,0.5767,0.0,0.0
1092,0.0069,0.0019,0.0,0.0,0.0,0.5169,0.0,0.0
566,0.0224,0.011,0.0002,0.0,0.0,0.1533,0.0,0.0199
401,0.0041,0.0027,0.0003,0.0,0.0,0.4568,0.0,0.0
1711,0.0018,0.0035,0.0006,0.0,0.0,0.3451,0.0,0.0
947,0.001,0.0,0.0006,0.0,0.0,0.6919,0.0,0.0
946,0.0016,0.001,0.0002,0.0,0.0,0.4087,0.0,0.0
948,0.0022,0.0016,0.002,0.0,0.0,0.5146,0.037,0.0
949,0.0015,0.0014,0.0015,0.0,0.0,0.393,0.0,0.0046
950,0.0021,0.0042,0.0028,0.0,0.0,0.4303,0.0,0.0
235,0.0001,0.0023,0.0002,0.0,0.0,0.5502,0.0,0.0
362,0.077,0.028,0.0006,0.0,0.0001,0.0196,0.0734,0.0096
233,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
864,0.0013,0.0003,0.0,0.0,0.0,0.4587,0.0,0.0
1090,0.0,0.0009,0.0003,0.0,0.0,0.4447,0.0,0.0
865,0.0,0.0,0.0003,0.0,0.0,0.6256,0.0,0.0
866,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
861,0.0,0.0011,0.0,0.0,0.0,0.4121,0.0,0.0
862,0.0,0.0,0.0002,0.0,0.0,0.6289,0.0,0.0
863,0.0,0.001,0.0,0.0,0.0,0.4328,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.5402,0.0304,0.0008
74,0.0,0.0,0.0,0.0,0.0,0.5539,0.0304,0.0008
75,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
616,0.0195,0.0096,0.0005,0.0,0.0,0.4583,0.025,0.0632
205,0.0287,0.0163,0.0014,0.0,0.0,0.4094,0.002,0.022
563,0.001,0.0014,0.0,0.0,0.0,0.4489,0.0,0.0055
220,0.0337,0.0101,0.0002,0.0,0.0,0.2108,0.0044,0.0078
1674,0.0726,0.0225,0.001,0.0,0.0,0.1446,0.0,0.0113
958,0.0271,0.0066,0.0006,0.0,0.0,0.2468,0.0,0.0062
957,0.0112,0.0036,0.0001,0.0,0.0,0.328,0.0,0.0
234,0.0119,0.0032,0.0002,0.0,0.0,0.3563,0.0938,0.0001
438,0.0548,0.0194,0.0005,0.0,0.0,0.1026,0.0428,0.0189
538,0.0474,0.0171,0.0006,0.0,0.0,0.2413,0.0,0.001
966,0.0,0.0,0.0018,0.0,0.0,0.6015,0.0,0.0
1318,0.0,0.0137,0.0014,0.0,0.0,0.3631,0.0,0.0
938,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
940,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
939,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
941,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
942,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
944,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
943,0.0145,0.0096,0.004,0.0,0.0,0.4019,0.0066,0.0091
1583,0.0375,0.0116,0.0002,0.0,0.0,0.2695,0.0,0.0
50,0.0207,0.0096,0.0008,0.0,0.0,0.5347,0.0,0.0
501,0.0,0.0023,0.0,0.0,0.0,0.4505,0.0,0.0
499,0.0014,0.0017,0.0003,0.0,0.0,0.297,0.0,0.0046
498,0.0,0.0026,0.0002,0.0,0.0,0.472,0.0,0.0
500,0.0,0.0022,0.0001,0.0,0.0,0.3707,0.0,0.0
1567,0.2896,0.0767,0.0013,0.0,0.0,0.0299,0.0,0.188
614,0.009,0.002,0.0001,0.0,0.0,0.4006,0.0,0.0
615,0.0182,0.0061,0.0005,0.0,0.0,0.3755,0.0,0.0
547,0.0064,0.0037,0.0001,0.0,0.0,0.4118,0.0,0.0
548,0.0033,0.001,0.0,0.0,0.0,0.516,0.0,0.0
556,0.0011,0.0014,0.0,0.0,0.0,0.4489,0.0,0.0055
557,0.002,0.0025,0.0001,0.0,0.0,0.2622,0.0,0.0046
379,0.0034,0.0019,0.0002,0.0,0.0,0.4304,0.0,0.0
380,0.0084,0.0015,0.0001,0.0,0.0,0.487,0.0,0.0
1172,0.0029,0.0009,0.0,0.0,0.0,0.5372,0.0,0.0
828,0.0,0.0023,0.0,0.0,0.0,0.3748,0.0,0.0
830,0.0,0.0021,0.0,0.0,0.0,0.4184,0.0,0.0
829,0.0,0.0023,0.0,0.0,0.0,0.4415,0.0,0.0
831,0.0,0.0026,0.0005,0.0,0.0,0.4238,0.0,0.0
767,0.0149,0.0087,0.005,0.0,0.0,0.2626,0.0,0.001
496,0.0,0.0025,0.0001,0.0,0.0,0.4035,0.0,0.0
497,0.0,0.0027,0.0,0.0,0.0,0.5083,0.0,0.0
695,0.0139,0.0044,0.0003,0.0,0.0,0.4804,0.0,0.0
