SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
921.0,2.0,10.0,21.2,288.0,41.0,71.3785,0.9906,0.854
1456.0,112.0,173.64,40.9,241960.0,241960.0,28.0,1.2477,5.5412
905.0,5.5,64.59,45.5,695.0,3.0,70.7141,1.0014,1.034
627.0,25.8632,87.1517,10.3,3.0,54831.1277,67.5193,1.0526,1.8788
118.0,25.8633,87.1505,10.0,52.0,54833.522,67.5195,1.0526,1.8788
613.0,25.8829,87.0576,10.0,24196.0,55772.8392,67.5169,1.0527,1.8798
765.0,25.8827,87.0627,11.5,24196.0,55770.3994,67.5162,1.0527,1.8797
610.0,25.8626,87.1654,14.4,3.0,54824.4589,67.5174,1.0526,1.8787
609.0,25.8631,87.1543,11.1,3.0,54829.8264,67.519,1.0526,1.8787
602.0,25.8629,87.158,12.2,3.0,54828.0373,67.5185,1.0526,1.8787
603.0,25.8628,87.1607,13.0,10.0,54827.0084,67.5181,1.0526,1.8787
123.0,25.8755,87.2287,61.2,24196.0,55689.5604,67.493,1.0526,1.8785
124.0,25.8623,87.172,16.4,3.0,54821.2058,67.5165,1.0526,1.8786
125.0,25.857,87.294,52.9,3.0,54761.8371,67.4995,1.0525,1.8777
170.0,25.8612,87.2218,33.2,1664.0,54858.5008,67.5085,1.0526,1.8783
121.0,25.8626,87.1659,14.6,31.0,54825.2229,67.5173,1.0526,1.8787
120.0,25.8633,87.1507,10.0,3.0,54831.6156,67.5195,1.0526,1.8788
122.0,25.8629,87.159,12.5,3.0,54827.5493,67.5183,1.0526,1.8787
392.0,25.8614,87.1941,23.0,3.0,54810.4706,67.5134,1.0526,1.8784
312.0,25.8633,87.1507,10.0,3.0,54831.6156,67.5195,1.0526,1.8788
183.0,25.8619,87.1852,20.5,148.0,54820.1782,67.5146,1.0526,1.8785
127.0,25.8604,87.2158,29.5,3.0,54799.8981,67.5104,1.0526,1.8783
128.0,25.8624,87.171,16.1,3.0,54821.6937,67.5166,1.0526,1.8786
1092.0,25.8633,87.1505,10.0,43.0,54833.1718,67.5195,1.0526,1.8788
566.0,25.8617,87.1874,21.0,9.0,54813.9571,67.5144,1.0526,1.8785
401.0,25.8604,87.2175,30.0,3.0,54799.0848,67.5102,1.0526,1.8783
1711.0,25.8585,87.2609,43.0,3.0,54777.9398,67.5041,1.0525,1.8779
947.0,3.67,10.0,44.0,210.0,28.0,71.1534,0.9945,0.9096
946.0,4.69,18.06,23.0,2400.0,2400.0,70.9811,0.9974,0.9592
948.0,5.68,22.72,126.0,1100.0,1100.0,70.7983,0.9997,0.9927
949.0,4.48,21.44,237.8204,2400.0,2400.0,70.8905,0.9967,0.9518
950.0,5.53,43.13,173.0,2400.0,460.0,70.7247,1.0003,1.0086
235.0,2.13,27.96,19.0,2400.0,2400.0,71.2742,0.9918,0.8848
362.0,131.25,231.23,42.6,2419600.0,2419600.0,35.2734,1.6,1.95
233.0,2.0,10.0,10.0,435.0,3.0,71.3844,0.9906,0.8542
864.0,4.12,12.54,10.0,4884.0,31.0,71.1044,0.9957,0.928
1090.0,2.0,16.72,25.0,2755.0,3.0,71.3527,0.9909,0.8615
865.0,2.0,10.0,25.2,384.0,3.0,71.3769,0.9906,0.8539
866.0,2.0,10.0,10.0,345.0,3.0,71.3843,0.9906,0.8542
861.0,2.0,18.39,10.0,1607.0,3.0,71.3534,0.991,0.8638
862.0,2.0,10.0,18.9,1037919.237,31.0,71.0169,0.9907,0.9345
863.0,2.0,17.56,10.0,1063136.7,10.0,70.9843,0.9911,0.9453
73.0,2.0,10.0,10.0,1782.0,3.0,71.3848,0.9906,0.8541
74.0,2.0,10.0,10.0,2359.0,3.0,71.385,0.9906,0.854
75.0,2.0,10.0,10.0,663.0,3.0,71.3844,0.9906,0.8542
616.0,25.8787,87.1549,39.1,24196.0,55725.5069,67.5033,1.0526,1.879
205.0,25.8605,87.3819,92.1,11199.0,55133.6547,67.48,1.0525,1.8772
563.0,3.7,20.9,10.0,1320.0,630.0,71.12,0.9951,0.9253
220.0,58.56,89.37,22.0,120.0,75.0,63.8298,1.1277,2.844
1674.0,123.75,187.64,70.4,241960.0,241960.0,52.4885,1.0,2.12
958.0,47.4,61.92,44.0,120.0,39.0,65.3529,1.1001,2.4372
957.0,20.82,38.4,16.0,460.0,240.0,68.8603,1.0363,1.5191
234.0,21.9,35.04,20.0,2400.0,460.0,68.731,1.0387,1.5517
