SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
921.0,2.0,10.0,21.2,288.0,41.0,,,
1456.0,112.0,173.64,40.9,241960.0,241960.0,28.0,,
905.0,5.5,64.59,45.5,695.0,3.0,,,
627.0,,,10.3,3.0,,,,
118.0,,,10.0,52.0,,,,
613.0,,,10.0,24196.0,,,,
765.0,,,11.5,24196.0,,,,
610.0,,,14.4,3.0,,,,
609.0,,,11.1,3.0,,,,
602.0,,,12.2,3.0,,,,
603.0,,,13.0,10.0,,,,
123.0,,,61.2,24196.0,,,,
124.0,,,16.4,3.0,,,,
125.0,,,52.9,3.0,,,,
170.0,,,33.2,1664.0,,,,
121.0,,,14.6,31.0,,,,
120.0,,,10.0,3.0,,,,
122.0,,,12.5,3.0,,,,
392.0,,,23.0,3.0,,,,
312.0,,,10.0,3.0,,,,
183.0,,,20.5,148.0,,,,
127.0,,,29.5,3.0,,,,
128.0,,,16.1,3.0,,,,
1092.0,,,10.0,43.0,,,,
566.0,,,21.0,9.0,,,,
401.0,,,30.0,3.0,,,,
1711.0,,,43.0,3.0,,,,
947.0,3.67,10.0,44.0,210.0,28.0,,,
946.0,4.69,18.06,23.0,2400.0,2400.0,,,
948.0,5.68,22.72,126.0,1100.0,1100.0,,,
949.0,4.48,21.44,,2400.0,2400.0,,,
950.0,5.53,43.13,173.0,2400.0,460.0,,,
235.0,2.13,27.96,19.0,2400.0,2400.0,,,
362.0,131.25,231.23,42.6,2419600.0,2419600.0,,1.6,1.95
233.0,2.0,10.0,10.0,435.0,3.0,,,
864.0,4.12,12.54,10.0,4884.0,31.0,,,
1090.0,2.0,16.72,25.0,2755.0,3.0,,,
865.0,2.0,10.0,25.2,384.0,3.0,,,
866.0,2.0,10.0,10.0,345.0,3.0,,,
861.0,2.0,18.39,10.0,1607.0,3.0,,,
862.0,2.0,10.0,18.9,,31.0,,,
863.0,2.0,17.56,10.0,,10.0,,,
73.0,2.0,10.0,10.0,1782.0,3.0,,,
74.0,2.0,10.0,10.0,2359.0,3.0,,,
75.0,2.0,10.0,10.0,663.0,3.0,,,
616.0,,,39.1,24196.0,,,,
205.0,,,92.1,11199.0,,,,
563.0,3.7,20.9,10.0,1320.0,630.0,,,
220.0,58.56,89.37,22.0,120.0,75.0,,,
1674.0,123.75,187.64,70.4,241960.0,241960.0,,1.0,2.12
958.0,47.4,61.92,44.0,120.0,39.0,,,
957.0,20.82,38.4,16.0,460.0,240.0,,,
234.0,21.9,35.04,20.0,2400.0,460.0,,,
438.0,93.91,162.84,38.0,460.0,150.0,,,
538.0,81.61,144.71,44.0,1100.0,120.0,,,
966.0,2.0,10.0,114.2,11199.0,85.0,,,
1318.0,2.0,118.26,92.3,24196.0,24196.0,,1.0,1.0
938.0,,,,,,,,
940.0,,,,,,,,
939.0,,,,,,,,
941.0,,,,,,,,
942.0,,,,,,,,
944.0,,,,,,,,
943.0,,,,,,,,
1583.0,65.0,101.59,24.0,24196.0,24196.0,,1.0,1.0
50.0,36.8,85.44,57.5,6488.0,1624.0,86.3,1.0,
501.0,2.0,27.98,10.0,98.0,10.0,,,
499.0,4.42,23.74,29.3,241.0,62.0,,,
498.0,2.0,30.49,19.2,86.0,3.0,,,
500.0,2.0,27.14,14.8,122.0,10.0,,,
1567.0,488.0,614.87,88.0,24196.0,24196.0,,1.0,19.61
614.0,,,16.0,40.0,,,,
615.0,,,37.9,90.0,,,,
547.0,,,13.0,40.0,,,,
548.0,,,10.0,1500.0,,,,
556.0,3.86,21.21,10.0,3.0,3.0,,,
557.0,5.43,29.54,13.0,3.0,3.0,,,
379.0,,,19.0,750.0,,,,
380.0,,,18.0,1200.0,,,,
1172.0,,,10.0,24196.0,,,,
828.0,2.0,27.88,10.0,750.0,430.0,,,
830.0,2.0,26.63,11.0,3.0,3.0,,,
829.0,2.0,28.29,10.0,3.0,3.0,,,
831.0,2.0,30.79,40.0,1500.0,750.0,,,
767.0,,,300.0,1500.0,,,,
496.0,2.0,29.54,14.0,930.0,230.0,,,
497.0,2.0,31.63,11.0,2400.0,1500.0,,,
695.0,25.38,44.74,26.0,210.0,210.0,,,
643.0,23.28,50.34,10.0,43.0,43.0,,,
565.0,2.0,24.96,29.0,3.0,3.0,,,
918.0,2.57,27.88,13.0,3.0,3.0,,,
423.0,16.98,29.04,30.0,240.0,240.0,,,
1668.0,23.28,35.7,18.0,150.0,75.0,,,
964.0,27.9,34.75,10.0,23.0,23.0,,,
965.0,19.98,26.66,12.0,210.0,120.0,,,
845.0,104.11,198.46,56.0,2400.0,2400.0,,,
844.0,60.72,134.85,18.0,2400.0,2400.0,,,
843.0,27.12,35.82,16.0,2400.0,1100.0,,,
842.0,408.0,588.7,10.0,2400.0,1100.0,,,
1158.0,,,10.0,24196.0,,,,
535.0,6.2,23.41,10.0,24196.0,24196.0,,,
536.0,4.02,38.18,10.0,1439.0,52.0,,,
537.0,4.46,32.97,10.0,1725.0,235.0,,,
889.0,2.0,29.13,10.0,3.0,3.0,,,
890.0,2.0,28.71,10.0,3.0,3.0,,,
891.0,2.0,30.38,10.0,3.0,3.0,,,
1161.0,2.0,31.63,10.0,230.0,3.0,,,
890.0,2.0,25.79,10.0,40.0,3.0,,,
853.0,2.0,43.71,10.0,430.0,150.0,,,
854.0,2.0,27.04,10.0,90.0,40.0,,,
856.0,2.0,31.21,10.0,140.0,90.0,,,
852.0,2.0,33.29,10.0,3.0,3.0,,,
855.0,2.0,29.96,10.0,3.0,3.0,,,
1169.0,,,10.0,218.0,,,,
1130.0,9.2,56.82,92.8,24196.0,15531.0,76.0,,1.0
568.0,2.0,10.0,13.2,288.0,52.0,,,
567.0,2.0,10.0,15.2,3.0,3.0,,,
569.0,2.0,10.0,35.4,3.0,3.0,,,
481.0,2.0,15.34,,1019.0,364.0,,,
473.0,11.8,39.46,15.5,504.0,3.0,,,
732.0,2.0,51.77,11.0,379.0,41.0,,,
477.0,19.2,56.97,27.7,1870.0,200.0,,,
736.0,12.9,37.92,13.3,2046.0,10.0,,,
478.0,16.4,66.13,49.5,4710.0,310.0,,,
480.0,14.3,63.64,30.3,213.0,20.0,,,
479.0,2.0,19.6,14.8,1296.0,10.0,,,
476.0,2.0,33.74,17.4,1396.0,3.0,,,
731.0,11.5,37.67,41.3,1616.0,3.0,,,
471.0,2.0,10.0,32.3,708.0,10.0,,,
735.0,11.7,45.18,18.2,1100.0,100.0,,,
474.0,12.1,51.51,68.5,980.0,200.0,,,
734.0,2.0,11.93,57.5,4960.0,100.0,,,
475.0,2.0,45.18,37.1,3873.0,3.0,,,
730.0,13.1,33.56,76.4,860.0,200.0,,,
733.0,5.0,10.0,61.3,776.0,189.0,,,
472.0,2.0,10.0,24.3,146.0,86.0,,,
505.0,2.0,10.0,10.0,10.0,3.0,,,
