SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
921,0.0,0.0,0.00019353723863832728,2.3661270236671635e-10,8.172042044694299e-10,,,
1456,0.06555423122765197,0.020740177439797208,0.0005339554173146707,2.0087754254927573e-07,5.20337572896868e-06,0.1261387526278907,,
905,0.0020858164481525627,0.006918884664131813,0.0006134439260411266,5.745122457465533e-10,0.0,,,
627,,,5.184033177812368e-06,0.0,,,,
118,,,0.0,4.068078040690913e-11,,,,
613,,,0.0,2.0085512660905152e-08,,,,
765,,,2.5920165889061706e-05,2.0085512660905152e-08,,,,
610,,,7.60324866079143e-05,0.0,,,,
609,,,1.9008121651978576e-05,0.0,,,,
602,,,3.801624330395715e-05,0.0,,,,
603,,,5.1840331778123385e-05,5.811540058129876e-12,,,,
123,,,0.0008847416623466392,2.0085512660905152e-08,,,,
124,,,0.00011059270779332987,0.0,,,,
125,,,0.0007413167444271643,0.0,,,,
170,,,0.0004008985657508208,1.378995433793389e-09,,,,
121,,,7.948850872645588e-05,2.3246160232519498e-11,,,,
120,,,0.0,0.0,,,,
122,,,4.320027648176949e-05,0.0,,,,
392,,,0.00022464143770520133,0.0,,,,
312,,,0.0,0.0,,,,
183,,,0.00018144116122343186,1.2038190120411884e-10,,,,
127,,,0.00033696215655780194,0.0,,,,
128,,,0.00010540867461551756,0.0,,,,
1092,,,0.0,3.320880033217072e-11,,,,
566,,,0.00019008121651978576,4.981320049825608e-12,,,,
401,,,0.0003456022118541559,0.0,,,,
1711,,,0.0005702436495593573,0.0,,,,
947,0.0009952324195470798,0.0,0.0005875237601520649,1.7185554171898347e-10,5.376343450456775e-10,,,
946,0.0016030989272943982,0.001021546261089987,0.00022464143770520133,1.99003735990533e-09,5.1548381002979556e-08,,,
948,0.0021930870083432656,0.0016121673003802277,0.0020044928287541036,9.107513491097818e-10,2.3591395060604327e-08,,,
