SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
204,0.0,0.0,0.0,8.908260689104795e-10,8.172042044694299e-10,0.6159775753328663,0.0,0.0
921,0.0,0.0,0.00019353723863832728,2.3661270236671635e-10,8.172042044694299e-10,,,
1456,0.06555423122765197,0.020740177439797208,0.0005339554173146707,2.0087754254927573e-07,5.20337572896868e-06,0.1261387526278907,,
905,0.0020858164481525627,0.006918884664131813,0.0006134439260411266,5.745122457465533e-10,0.0,,,
627,,,5.184033177812368e-06,0.0,,,,
118,,,0.0,4.068078040690913e-11,,,,
613,,,0.0,2.0085512660905152e-08,,,,
647,0.0,0.0,5.529635389666494e-05,1.6214196762182353e-09,2.0430105111735744e-09,0.5017519271198319,0.0,0.0
25,0.0,0.0,0.0,2.9223744292310226e-10,3.655913546310607e-10,0.6930623686054661,0.0,0.0
165,0.0,0.0,0.0,4.068078040690913e-11,0.0,0.7757533286615278,0.0,0.0
645,0.0,0.0,0.0,1.4113740141172554e-10,0.0,0.6229852838121935,0.0,0.0
1379,0.0,0.0,0.0,2.057285180577976e-09,0.0,0.7610371408549405,0.0,0.0
1378,0.0,0.004959442332065906,0.0,8.13698630139013e-09,1.505376166127897e-10,0.6573230553608971,0.0,0.0
765,,,2.5920165889061706e-05,2.0085512660905152e-08,,,,
610,,,7.60324866079143e-05,0.0,,,,
609,,,1.9008121651978576e-05,0.0,,,,
602,,,3.801624330395715e-05,0.0,,,,
603,,,5.1840331778123385e-05,5.811540058129876e-12,,,,
123,,,0.0008847416623466392,2.0085512660905152e-08,,,,
124,,,0.00011059270779332987,0.0,,,,
125,,,0.0007413167444271643,0.0,,,,
170,,,0.0004008985657508208,1.378995433793389e-09,,,,
121,,,7.948850872645588e-05,2.3246160232519498e-11,,,,
120,,,0.0,0.0,,,,
122,,,4.320027648176949e-05,0.0,,,,
392,,,0.00022464143770520133,0.0,,,,
312,,,0.0,0.0,,,,
