SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
204,0.0,0.0,0.0,8.908260689104795e-10,8.172042044694299e-10,0.6159775753328663,0.0,0.0
647,0.0,0.0,5.529635389666494e-05,1.6214196762182353e-09,2.0430105111735744e-09,0.5017519271198319,0.0,0.0
25,0.0,0.0,0.0,2.9223744292310226e-10,3.655913546310607e-10,0.6930623686054661,0.0,0.0
165,0.0,0.0,0.0,4.068078040690913e-11,0.0,0.7757533286615278,0.0,0.0
645,0.0,0.0,0.0,1.4113740141172554e-10,0.0,0.6229852838121935,0.0,0.0
1379,0.0,0.0,0.0,2.057285180577976e-09,0.0,0.7610371408549405,0.0,0.0
1378,0.0,0.004959442332065906,0.0,8.13698630139013e-09,1.505376166127897e-10,0.6573230553608971,0.0,0.0
646,0.0,0.0,0.0,2.7222914072296944e-09,1.3655912364160208e-08,0.5311843027330064,0.0,0.0
1640,0.0,0.0020646387832699616,0.0002557456367720754,9.295143212974582e-09,4.795698357807444e-09,0.5795374912403645,0.0,0.0
1639,0.0,0.0,0.0,5.087588210888554e-09,6.666665878566402e-09,0.49053959355290827,0.0,0.0
1638,0.0,0.0,0.0,1.0787878787905656e-08,2.4301072396064623e-09,0.5353889278206028,0.0,0.0
1385,0.0019666269368295588,0.00030671736375158416,0.0047814066010022456,3.2129514321375167e-09,1.0946235265129994e-08,0.4484933426769447,0.0,0.0
1044,0.002205005959475566,0.0,0.004285467426991533,3.031133250318882e-09,1.1999998581419523e-08,0.49614576033637,0.0,0.0
642,0.005244338498212158,0.0015779467680608363,0.0,3.7941054379505043e-10,3.1612899488685835e-09,0.2529782761037141,0.0,0.0
1028,0.007961859356376638,0.0017008871989860582,0.00010368066355624677,9.107513491097818e-10,2.3591395060604327e-08,0.25227750525578135,0.0,0.0
197,0.00767580452920143,0.0018250950570342201,6.91204423708312e-05,5.977584059790728e-11,1.548386913731551e-09,0.5900490539593554,0.0,0.0
396,0.005530393325387365,0.00120659062103929,0.0002419215482979091,1.99003735990533e-09,2.3591395060604327e-08,0.5970567624386827,0.0,0.0
198,0.007193087008343265,0.001453738910012674,0.00013824088474166234,1.7185554171898347e-10,2.5161287348137705e-09,0.32725998598458306,0.0,0.0
1701,0.007943980929678188,0.0018250950570342201,3.45602211854156e-05,3.320880033217072e-11,8.60214952073084e-10,0.5101611772950246,0.0,0.0
410,0.0014898688915375444,0.007351077313054499,0.002450319682045965,2.0085512660905152e-08,5.20279508387603e-07,0.6846531184302734,0.0,0.0
1191,0.0025625744934445766,0.0,0.004746846379816831,1.289165628894867e-08,1.2473116805059716e-09,0.8906797477224948,0.0,0.0
748,0.003754469606674613,0.0022205323193916346,0.008766200103680663,2.0085512660905152e-08,5.20279508387603e-07,0.5648213034337772,0.0,0.0
