DBO_mg/L,DQO_mg/L
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,49.13
2.0,10.0
2.0,26.29
2.0,10.0
2.0,10.0
5.3,12.42
5.7,10.0
10.8,22.45
15.36,23.42
14.88,24.4
11.28,19.52
14.07,21.47
15.33,24.4
4.5,68.0
6.3,10.0
8.3,27.52
22.1,31.26
5.2,19.78
2.0,14.62
4.0,10.0
4.3,73.13
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
94.5,209.33
2.0,10.0
2.0,10.0
2.0,10.82
2.0,10.0
2.0,10.0
2.0,22.57
2.0,10.0
2.0,10.0
2.28,10.0
22.3,25.79
2.0,10.0
9.4,14.21
2.0,23.41
2.0,26.75
2.0,10.0
2.0,10.0
8.7,10.0
7.8,13.38
5.9,13.38
2.0,10.0
2.0,29.26
2.0,12.54
2.0,10.0
2.0,10.0
2.0,18.39
2.0,10.0
12.0,42.72
19.5,36.21
79.5,239.25
120.0,195.85
2.0,10.0
150.0,384.25
86.0,240.0
95.4,116.22
176.25,264.41
65.0,146.9
98.2,141.42
65.52,120.33
16.08,32.64
54.0,93.48
47.28,70.08
46.2,70.56
45.24,74.88
30.3,75.36
17.2,54.51
35.04,51.36
55.56,83.61
54.0,67.2
86.0,101.15
40.2,55.68
7.2,44.08
15.33,27.36
50.5,88.44
98.6,132.93
13.74,24.13
14.22,30.16
45.72,70.99
49.08,72.38
4.72,15.05
22.2,67.15
19.6,57.15
22.2,98.18
2.0,69.03
12.3,72.97
22.6,77.33
73.0,341.79
81.0,149.21
95.5,146.38
77.5,145.36
29.6,78.62
187.5,317.44
284.75,388.72
105.5,1190.0
213.75,3253.75
106.0,931.5
94.0,152.26
134.0,1731.5
106.5,466.75
100.5,726.75
2.0,24.24
144.25,196.87
113.0,197.38
22.7,26.04
10.3,66.82
2.0,96.72
9.9,28.29
8.4,36.13
2.0,11.65
8.8,12.66
2.0,10.0
2.0,26.16
7.8,19.14
13.3,31.44
8.2,12.48
8.2,17.47
8.1,16.64
12.4,28.42
66.0,88.44
21.5,27.59
2.0,10.0
2.0,22.88
2.0,17.88
2.0,28.71
2.0,43.71
2.0,29.54
2.0,32.88
2.0,24.96
2.0,38.29
2.0,28.29
2.0,23.71
2.0,39.13
2.0,77.46
2.0,39.13
2.0,40.38
2.0,38.71
2.0,43.29
2.0,52.04
2.0,15.79
2.0,13.71
2.14,13.29
2.29,45.38
2.57,48.71
2.0,45.79
2.0,13.71
2.0,18.29
2.0,16.63
2.0,30.79
2.0,36.63
2.0,31.21
2.0,40.38
237.75,303.32
19.56,40.94
12.72,17.14
132.31,163.39
15.57,30.01
4.2,47.67
24.6,34.27
46.68,61.88
11.1,22.26
13.05,25.17
3.92,10.0
3.94,10.0
2.15,10.0
4.92,10.0
4.36,10.0
9.3,387.44
2.0,26.21
2.0,11.7
2.0,10.0
2.0,45.79
2.0,41.21
2.0,39.13
2.0,24.54
2.0,26.21
2.0,29.96
2.0,27.04
2.0,28.29
2.0,29.54
2.0,16.63
2.0,19.96
2.0,18.29
2.0,29.96
2.0,32.04
2.0,34.54
2.0,28.71
2.0,29.54
2.0,43.29
11.1,42.03
14.3,18.39
9.2,56.31
25.4,53.23
19.1,63.23
16.7,26.75
17.4,68.87
15.4,48.62
16.7,72.62
12.0,48.51
17.4,37.33
18.1,21.74
37.4,110.15
