DBO_mg/L,DQO_mg/L
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.005
0.0,0.0
0.0,0.0021
0.0,0.0
0.0,0.0
0.002,0.0003
0.0022,0.0
0.0052,0.0016
0.008,0.0017
0.0077,0.0018
0.0055,0.0012
0.0072,0.0015
0.0079,0.0018
0.0015,0.0074
0.0026,0.0
0.0038,0.0022
0.012,0.0027
0.0019,0.0012
0.0,0.0006
0.0012,0.0
0.0014,0.008
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0551,0.0253
0.0,0.0
0.0,0.0
0.0,0.0001
0.0,0.0
0.0,0.0
0.0,0.0016
0.0,0.0
0.0,0.0
0.0002,0.0
0.0121,0.002
0.0,0.0
0.0044,0.0005
0.0,0.0017
0.0,0.0021
0.0,0.0
0.0,0.0
0.004,0.0
0.0035,0.0004
0.0023,0.0004
0.0,0.0
0.0,0.0024
0.0,0.0003
0.0,0.0
0.0,0.0
0.0,0.0011
0.0,0.0
0.006,0.0041
0.0104,0.0033
0.0462,0.0291
0.0703,0.0236
0.0,0.0
0.0882,0.0474
0.0501,0.0292
0.0557,0.0135
0.1038,0.0322
0.0375,0.0174
0.0573,0.0167
0.0379,0.014
0.0084,0.0029
0.031,0.0106
0.027,0.0076
0.0263,0.0077
0.0258,0.0082
0.0169,0.0083
0.0091,0.0056
0.0197,0.0052
0.0319,0.0093
0.031,0.0072
0.0501,0.0116
0.0228,0.0058
0.0031,0.0043
0.0079,0.0022
0.0289,0.0099
0.0576,0.0156
0.007,0.0018
0.0073,0.0026
0.0261,0.0077
0.0281,0.0079
0.0016,0.0006
0.012,0.0072
0.0105,0.006
0.012,0.0112
0.0,0.0075
0.0061,0.008
0.0123,0.0085
0.0423,0.0421
0.0471,0.0176
0.0557,0.0173
0.045,0.0172
0.0164,0.0087
0.1105,0.039
0.1685,0.048
0.0617,0.1496
0.1262,0.4111
0.062,0.1168
0.0548,0.018
0.0787,0.2182
0.0623,0.0579
0.0587,0.0908
0.0,0.0018
0.0848,0.0237
0.0662,0.0237
0.0123,0.002
0.0049,0.0072
0.0,0.011
0.0047,0.0023
0.0038,0.0033
0.0,0.0002
0.0041,0.0003
0.0,0.0
0.0,0.002
0.0035,0.0012
