DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
10.0,1.0,41.0,1.0
10.0,1.0,98.0,1.0
10.0,1.0,20.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
49.13,1.0,10.0,1.0
10.0,1.0,638.0,1.0
26.29,1.0,226.0,1.0
10.0,1.0,313.0,1.0
10.0,1.0,116.0,1.0
12.42,1.0,512.0,1.0
10.0,1.0,561.0,1.0
22.45,1.0,150.0,1.0
23.42,1.0,1100.0,1.0
24.4,1.0,75.0,1.0
19.52,1.0,1100.0,1.0
21.47,1.0,120.0,1.0
24.4,1.0,43.0,1.0
68.0,1.0,24196.0,1.0
10.0,1.0,61.0,1.0
27.52,1.0,24196.0,1.0
31.26,1.03,24196.0,4.83
19.78,1.0,75.0,1.0
14.62,1.0,41.0,1.0
10.0,1.0,10.0,1.0
73.13,1.0,3448.0,1.0
10.0,1.0,20.0,1.0
10.0,1.0,52.0,1.0
10.0,1.0,20.0,1.0
10.0,1.0,324.0,1.0
10.0,1.0,520.0,1.0
10.0,1.0,259.0,1.0
10.0,1.0,20.0,1.0
10.0,1.0,20.0,1.0
10.0,1.0,84.0,1.0
10.0,1.0,10.0,1.0
10.0,1.0,10.0,1.0
209.33,1.53,24196.0,1.48
10.0,1.0,20.0,1.0
10.0,1.0,175.0,1.0
10.82,1.0,1266.0,1.0
10.0,1.0,279.0,1.0
10.0,1.0,144.0,1.0
22.57,1.0,20.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,10.0,1.0
10.0,1.0,5630.0,1.0
25.79,1.0,1785.0,1.0
10.0,1.0,305.0,1.0
14.21,1.0,309.0,1.0
23.41,1.0,24196.0,1.0
26.75,1.0,185.0,1.0
10.0,1.0,189.0,1.0
10.0,1.0,1182.0,1.0
10.0,1.0,6510.0,1.0
13.38,1.0,934.0,1.0
13.38,1.0,3130.0,1.0
10.0,1.0,110.0,1.0
29.26,1.0,295.0,1.0
12.54,1.0,318.0,1.0
10.0,1.0,3.0,1.0
10.0,1.4,3.0,2.24
18.39,1.0,24196.0,1.0
10.0,1.0,14136.0,1.0
42.72,1.0,359.0,1.0
36.21,1.0,771.0,1.0
239.25,5.03,24196.0,1.0
195.85,3.98,24196.0,1.44
10.0,1.0,24196.0,1.0
384.25,32.26,2419600.0,2.02
240.0,1.0,2419600.0,1.0
116.22,8.2,2400.0,1.21
264.41,7.63,2419600.0,1.0
146.9,2.54,241960.0,1.0
141.42,5.15,1100.0,1.2
120.33,5.88,240.0,1.28
32.64,1.0,460.0,1.0
93.48,4.88,460.0,1.18
70.08,1.0,1100.0,1.0
70.56,1.0,460.0,1.0
74.88,1.0,2400.0,1.0
75.36,1.0,1100.0,1.0
54.51,1.0,24196.0,1.0
51.36,1.0,460.0,1.0
83.61,1.0,2400.0,1.0
67.2,1.0,2400.0,1.0
101.15,1.0,2400.0,1.0
55.68,1.0,2400.0,1.0
44.08,1.0,5172.0,1.0
27.36,1.0,7.0,1.0
88.44,1.0,241960.0,1.0
132.93,1.0,28.0,1.0
24.13,1.0,120.0,1.0
30.16,1.0,9.0,1.0
70.99,1.0,240.0,1.0
72.38,1.0,460.0,1.0
15.05,1.0,464.0,1.0
67.15,1.0,1732900.0,1.0
57.15,1.0,155300.0,1.0
98.18,1.0,241960.0,1.0
69.03,1.0,24196.0,1.0
72.97,1.0,24196.0,1.0
77.33,1.0,48840.0,1.0
341.79,1.96,517200.0,1.0
149.21,1.0,270000.0,1.0
146.38,1.65,241960.0,1.0
145.36,1.48,241960.0,1.0
78.62,1.0,95900.0,1.0
317.44,1.14,24196.0,1.0
388.72,7.69,1413600.0,1.0
1190.0,100.0,2419600.0,1.0
3253.75,15.38,241960.0,2.49
931.5,1.0,2419600.0,1.0
152.26,1.0,2419600.0,2.55
1731.5,31.25,241960.0,2.55
466.75,2.16,2419600.0,1.0
726.75,24.39,2419600.0,3.98
24.24,1.0,24196.0,1.0
196.87,5.81,35500.0,1.0
197.38,1.68,115300.0,1.0
26.04,1.0,2419600.0,1.0
66.82,1.0,4570.0,1.0
96.72,1.0,13330.0,1.0
28.29,1.0,794.0,1.0
36.13,1.0,9804.0,1.0
11.65,1.0,12997.0,1.0
12.66,1.0,24196.0,1.0
10.0,1.0,24196.0,1.0
26.16,1.0,41.0,1.0
19.14,1.0,3076.0,1.0
31.44,1.0,24196.0,1.0
12.48,1.0,15531.0,1.0
17.47,1.0,422.0,1.0
16.64,1.0,3873.0,1.0
28.42,1.0,1990.0,1.0
88.44,1.0,683.0,1.0
27.59,1.0,111990.0,1.0
10.0,1.0,292.0,1.0
22.88,1.0,210.0,1.0
17.88,1.0,750.0,1.0
28.71,1.0,90.0,1.0
43.71,1.0,24000.0,1.0
29.54,1.0,1500.0,1.0
32.88,1.0,2400.0,1.0
24.96,1.0,11000.0,1.0
38.29,1.0,4600.0,1.0
28.29,1.0,24000.0,1.0
23.71,1.0,24000.0,1.0
39.13,1.0,430.0,1.0
77.46,1.0,24000.0,1.0
39.13,1.0,24000.0,1.0
40.38,1.0,24000.0,1.0
38.71,1.0,24000.0,1.0
43.29,1.0,24000.0,1.0
52.04,1.0,24000.0,1.0
15.79,1.0,24000.0,1.0
13.71,1.0,24000.0,1.0
13.29,1.0,24000.0,1.0
45.38,1.0,90.0,1.0
48.71,1.0,430.0,1.0
45.79,1.0,4600.0,1.0
13.71,1.0,930.0,1.0
18.29,1.0,4600.0,1.0
16.63,1.0,2400.0,1.0
30.79,1.0,4600.0,1.0
36.63,1.0,24000.0,1.0
31.21,1.0,24000.0,1.0
40.38,1.0,24000.0,1.0
303.32,1.0,2400.0,1.0
40.94,1.0,460.0,1.0
17.14,1.0,460.0,1.0
163.39,1.0,2400.0,1.0
30.01,1.0,1100.0,1.0
47.67,1.0,11199.0,1.0
34.27,1.0,2400.0,1.0
61.88,1.0,1100.0,1.0
22.26,1.0,240.0,1.0
25.17,1.0,460.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,41.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,10.0,1.0
387.44,2.2,24196.0,1.0
26.21,1.0,210.0,1.0
11.7,1.0,262.0,1.0
10.0,1.0,9804.0,1.0
45.79,1.0,4600.0,1.0
41.21,1.0,30.0,1.0
39.13,1.0,11000.0,1.0
24.54,1.0,2100.0,1.0
26.21,1.0,3.0,1.0
29.96,1.0,3.0,1.0
27.04,1.0,90.0,1.0
28.29,1.0,40.0,1.0
29.54,1.0,90.0,1.0
16.63,1.0,40.0,1.0
19.96,1.0,90.0,1.0
18.29,1.0,230.0,1.0
29.96,1.0,2400.0,1.0
32.04,1.0,3.0,1.0
34.54,1.0,90.0,1.0
28.71,1.0,430.0,1.0
29.54,1.0,230.0,1.0
43.29,1.0,24000.0,1.0
42.03,1.0,199.0,1.0
18.39,1.0,12033.0,1.0
56.31,1.0,8200.0,1.0
53.23,1.0,19040.0,1.0
63.23,1.0,10860.0,1.0
26.75,1.0,193290.0,1.0
68.87,1.0,15531.0,1.0
48.62,1.0,9600.0,1.0
72.62,1.0,64880.0,1.0
48.51,1.0,24196.0,1.0
37.33,1.0,2187.0,1.0
21.74,1.0,373.0,1.0
110.15,1.0,141360.0,1.0
19.23,1.0,1600.0,1.0
64.77,1.0,2560.0,1.0
19.23,1.0,2690.0,1.0
10.0,1.0,4080.0,1.0
