DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
2.0,10.0,10.0,1076.0,41.0,97.9,1.0,1.0
2.0,10.0,13.2,1956.0,98.0,81.6,0.9889546524700326,0.5065376945109157
-9.768555320993336,10.0,10.0,355.0,20.0,108.9,1.0,1.0
2.0,10.0,10.0,52.0,3.0,120.7,1.0,1.0
2.0,10.0,158.4907238597337,173.0,3.0,98.9,1.0,1.0
2.0,10.0,10.0,1071102.1924986588,3.0,118.6,1.0,1.0
2.0,49.13,10.0,9804.0,10.0,103.8,1.0,1.0
2.0,10.0,10.0,3282.0,638.0,85.8,1.0,1.0
2.0,26.29,24.8,-1155759.8625675691,226.0,70.07550037170692,1.0,1.0
2.0,10.0,10.0,-904385.4635387352,313.0,80.0,1.0,1.0
2.0,10.0,203.61513398548317,12997.0,116.0,86.4,1.0,0.4400821015846317
5.3,12.42,286.7,3873.0,512.0,74.0,1.0,1.0
5.7,23.11324841598266,258.0,-495244.11762662884,561.0,80.8,1.0,1.0
10.8,22.45,10.0,460.0,150.0,46.1,1.0,1.0
15.36,23.42,16.0,1100.0,1100.0,46.0,1.0,1.0
14.88,24.4,14.0,75.0,75.0,94.2,1.0442834416571185,1.0
11.28,19.52,24.0,2400.0,1100.0,95.2,1.0,1.0
14.07,21.47,18.0,210.0,120.0,56.7,1.0,1.0
15.33,24.4,12.0,43.0,43.0,82.8,1.0,1.0
4.5,68.0,151.8,24196.0,24196.0,107.7,1.0,2.7704121631270926
6.3,10.0,284.7,15531.0,61.0,137.1,1.0799635212004282,1.0
8.3,27.52,517.3,-639826.2568218764,24196.0,69.03346107293976,1.0,1.0
22.1,31.26,17.5,-39803763.67578253,24196.0,67.4,4.83,1.03
5.2,19.78,266.7,935.0,75.0,108.3,1.0,1.0
2.0,14.62,735.0,598.0,41.0,97.0,1.010106318367134,1.0
